epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,930.653,1.48135,3.53358,1.71741,0.30998,0.45143,0.36512,0.22733,1.28678,2.23447,1.51674,0.0702344,0.00330729,0.00330729
2,1904.98,1.24689,1.84798,1.40432,0.35648,0.48092,0.3946,0.24712,1.26756,1.75661,1.4669,0.0401148,0.00652109,0.00652109
3,2919.79,1.26425,1.70444,1.37102,0.38679,0.39255,0.36929,0.21939,1.41945,2.05276,1.58936,0.00987531,0.0096149,0.0096149
4,3927.07,1.31283,1.81182,1.40435,0.61703,0.34615,0.39851,0.24078,1.46272,1.90244,1.52947,0.00946,0.00946,0.00946
5,4940.21,1.32316,1.66348,1.37822,0.51112,0.4443,0.39203,0.23508,1.42913,2.36155,1.52229,0.00928,0.00928,0.00928
6,5949.41,1.29236,1.64171,1.33004,0.4235,0.44795,0.43996,0.27721,1.34001,1.71352,1.42203,0.0091,0.0091,0.0091
7,6961.07,1.28365,1.56071,1.32427,0.51807,0.44192,0.4959,0.31683,1.34393,1.57716,1.41284,0.00892,0.00892,0.00892
8,7970.1,1.26869,1.4946,1.32688,0.65266,0.44812,0.50117,0.32158,1.30057,1.53612,1.41708,0.00874,0.00874,0.00874
9,8982.18,1.24276,1.44447,1.30339,0.67351,0.44022,0.49765,0.30781,1.33262,1.56394,1.40725,0.00856,0.00856,0.00856
10,9992.91,1.22973,1.42069,1.30982,0.58263,0.52236,0.53532,0.33862,1.29333,1.49282,1.41691,0.00838,0.00838,0.00838
11,10998.9,1.22447,1.40677,1.29967,0.67891,0.5065,0.54727,0.34149,1.30977,1.43024,1.39788,0.0082,0.0082,0.0082
12,12007.6,1.19517,1.30751,1.27352,0.56861,0.5219,0.56419,0.35852,1.2466,1.37716,1.36435,0.00802,0.00802,0.00802
13,13017.8,1.16481,1.27762,1.24134,0.68821,0.51398,0.54386,0.34656,1.28003,1.41435,1.37763,0.00784,0.00784,0.00784
14,14024.5,1.15557,1.26171,1.2466,0.54802,0.53562,0.5734,0.37086,1.27855,1.39201,1.38295,0.00766,0.00766,0.00766
15,15034.6,1.15446,1.20854,1.24313,0.6901,0.52932,0.58087,0.38508,1.23347,1.42248,1.34843,0.00748,0.00748,0.00748
16,16044.7,1.11816,1.16122,1.22245,0.53018,0.55123,0.56869,0.37464,1.21077,1.32592,1.35107,0.0073,0.0073,0.0073
17,17058.3,1.11438,1.11207,1.21645,0.68937,0.58053,0.58798,0.39259,1.2131,1.3157,1.34744,0.00712,0.00712,0.00712
18,18014.8,1.09198,1.12085,1.21904,0.53298,0.62013,0.60507,0.40872,1.23492,1.24138,1.35241,0.00694,0.00694,0.00694
19,19448.4,1.08389,1.1393,1.21376,0.63872,0.54742,0.60408,0.40188,1.20786,1.29652,1.33162,0.00676,0.00676,0.00676
20,21011.9,1.07619,1.08541,1.20199,0.64081,0.61559,0.60748,0.41024,1.1855,1.28215,1.31998,0.00658,0.00658,0.00658
21,22508.4,1.063,1.03083,1.18543,0.64763,0.63794,0.64274,0.42205,1.21793,1.21653,1.32587,0.0064,0.0064,0.0064
22,23520.2,1.04449,1.02322,1.17253,0.66387,0.6257,0.63872,0.42824,1.19653,1.15094,1.33173,0.00622,0.00622,0.00622
23,24530.8,1.02988,0.98072,1.16627,0.7662,0.57857,0.64154,0.43273,1.16256,1.21078,1.29265,0.00604,0.00604,0.00604
24,25534.2,1.0165,0.96077,1.15885,0.58462,0.62717,0.64323,0.43217,1.18999,1.20067,1.33715,0.00586,0.00586,0.00586
25,26542.2,0.98693,0.92941,1.14423,0.60751,0.66196,0.65693,0.44531,1.18858,1.191,1.32081,0.00568,0.00568,0.00568
26,27551.5,0.97202,0.89967,1.13264,0.64835,0.58409,0.62564,0.42639,1.16018,1.15897,1.31829,0.0055,0.0055,0.0055
27,28561.6,0.96292,0.87495,1.12911,0.58027,0.60615,0.63525,0.43141,1.17097,1.14003,1.30634,0.00532,0.00532,0.00532
28,29567.1,0.9451,0.86606,1.12494,0.69162,0.57147,0.63914,0.42811,1.1693,1.15265,1.32274,0.00514,0.00514,0.00514
29,30569.6,0.93505,0.83099,1.11128,0.66033,0.59114,0.66257,0.45396,1.14138,1.17281,1.28982,0.00496,0.00496,0.00496
30,31487.7,0.91778,0.81633,1.10079,0.64983,0.63149,0.65656,0.44962,1.14928,1.14799,1.29988,0.00478,0.00478,0.00478
31,32494,0.91005,0.80256,1.09049,0.68189,0.61553,0.65577,0.44824,1.14586,1.19721,1.2969,0.0046,0.0046,0.0046
32,33461.3,0.91024,0.79008,1.09065,0.72845,0.58579,0.65564,0.45307,1.15511,1.2098,1.29401,0.00442,0.00442,0.00442
33,34475.1,0.88284,0.75393,1.07613,0.68736,0.62723,0.66704,0.45694,1.1389,1.07974,1.28691,0.00424,0.00424,0.00424
34,35459.1,0.89705,0.77208,1.09827,0.63943,0.66597,0.65873,0.45566,1.16904,1.08954,1.31751,0.00406,0.00406,0.00406
35,36469.3,0.88252,0.75586,1.09032,0.6481,0.6437,0.65889,0.44916,1.16033,1.16477,1.32067,0.00388,0.00388,0.00388
36,37479.5,0.8578,0.71682,1.07185,0.71651,0.6367,0.67771,0.47107,1.14203,1.14055,1.29173,0.0037,0.0037,0.0037
37,38492.9,0.84629,0.66738,1.05445,0.68221,0.6042,0.65849,0.46178,1.14069,1.14153,1.27875,0.00352,0.00352,0.00352
38,39501.1,0.82052,0.66702,1.04889,0.6978,0.60222,0.66669,0.46885,1.13508,1.1663,1.30124,0.00334,0.00334,0.00334
39,40503.6,0.81411,0.6549,1.04409,0.70269,0.59846,0.66615,0.4723,1.14044,1.15016,1.32011,0.00316,0.00316,0.00316
40,41517.9,0.79977,0.64223,1.03771,0.67806,0.62557,0.66835,0.46698,1.11965,1.10678,1.29978,0.00298,0.00298,0.00298
41,42524.6,0.73257,0.52728,0.99548,0.7543,0.63103,0.68848,0.48696,1.13129,1.08584,1.28646,0.0028,0.0028,0.0028
42,43529.8,0.71735,0.49407,0.99117,0.73491,0.60552,0.67975,0.46946,1.15235,1.15232,1.30354,0.00262,0.00262,0.00262
