epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1110.12,1.47527,3.39634,1.72237,0.48022,0.45712,0.39295,0.24766,1.2572,1.99204,1.51935,0.0701948,0.00331169,0.00331169
2,2243.37,1.24022,1.7611,1.37784,0.56263,0.41757,0.4116,0.2589,1.31511,1.91553,1.4766,0.0400752,0.00652541,0.00652541
3,3378.08,1.26947,1.6697,1.34725,0.46091,0.5448,0.47216,0.2957,1.26882,1.74593,1.36384,0.00983558,0.00961913,0.00961913
4,4529.89,1.31208,1.70297,1.35798,0.56674,0.44209,0.41384,0.25138,1.32562,1.89287,1.38029,0.00946,0.00946,0.00946
5,6487.68,1.35679,1.73089,1.3909,0.64057,0.48255,0.49751,0.31238,1.25298,1.79433,1.35644,0.00928,0.00928,0.00928
6,8636.54,1.32588,1.64428,1.36598,0.63677,0.43736,0.48129,0.29548,1.32468,1.77385,1.38538,0.0091,0.0091,0.0091
7,10795.5,1.29034,1.60565,1.35122,0.65334,0.52038,0.54618,0.36309,1.21438,1.42424,1.30966,0.00892,0.00892,0.00892
8,18353.2,1.29544,1.53279,1.34241,0.58364,0.53438,0.57926,0.38552,1.16862,1.32325,1.29573,0.00874,0.00874,0.00874
9,19612.4,1.267,1.46072,1.3176,0.53926,0.47541,0.51815,0.34685,1.22018,1.56563,1.338,0.00856,0.00856,0.00856
10,21424.5,1.25444,1.44433,1.31569,0.56705,0.56643,0.60593,0.41033,1.18367,1.31859,1.29885,0.00838,0.00838,0.00838
11,24355.8,1.2227,1.3603,1.28323,0.60545,0.6186,0.63049,0.42811,1.1398,1.16967,1.25857,0.0082,0.0082,0.0082
12,27292.2,1.2146,1.34859,1.27968,0.71848,0.5551,0.6248,0.43058,1.15591,1.33925,1.26453,0.00802,0.00802,0.00802
